 Run     Object              RA           Dec    Equinox   UT    Airm Instr  Texp  Sky  Filters      Slit  Grat CenwA   Comments
                                                                              sec  PA   etc. 
 722700 SDSS1329         13:29:25.20 +12:30:25.4  2000.00 03:37 1.044  WFC   30.1  180  i                                
 722701 SDSS1329         13:29:25.21 +12:30:25.4  2000.00 03:38 1.044  WFC   30.1  180  i                                
 722702 SDSS1329         13:29:25.21 +12:30:25.4  2000.00 03:39 1.044  WFC   30.1  180  i                                
 722703 SDSS1329         13:29:25.20 +12:30:25.3  2000.00 03:41 1.043  WFC   30.1  180  i                                
 722704 SDSS1329         13:29:25.20 +12:30:25.5  2000.00 03:42 1.043  WFC   30.1  180  i                                
 722705 SDSS1329         13:29:25.21 +12:30:25.3  2000.00 03:43 1.043  WFC   30.1  180  i                                
 722706 SDSS1329         13:29:25.21 +12:30:25.4  2000.00 03:45 1.043  WFC   30.1  180  i                                
 722707 SDSS1329         13:29:25.21 +12:30:25.3  2000.00 03:46 1.042  WFC   29.6  180  i                                
 722708 SDSS1329         13:29:25.20 +12:30:25.4  2000.00 03:47 1.042  WFC   30.1  180  i                                
 722709 SDSS1329         13:29:25.20 +12:30:25.4  2000.00 03:49 1.042  WFC   29.6  180  i                                
 722710 SDSS1329         13:29:25.20 +12:30:25.3  2000.00 03:50 1.042  WFC   29.6  180  i                                
 722711 SDSS1329         13:29:25.21 +12:30:25.3  2000.00 03:51 1.042  WFC   29.6  180  i                                
 722712 SDSS1329         13:29:25.20 +12:30:25.3  2000.00 03:52 1.042  WFC   30.1  180  i                                
 722713 SDSS1329         13:29:25.20 +12:30:25.4  2000.00 03:54 1.042  WFC   30.1  180  i                                
