 562148 uvex_4632o r     19:12:29.53 +16:21:00.0 2000.00  03:51 1.025  WFC   30.1  180  r                                
 562149 uvex_4632o U     19:12:29.54 +16:20:59.9 2000.00  03:52 1.025  WFC  120.0  180  U                                
 562150 uvex_4632o g     19:12:29.53 +16:20:59.9 2000.00  03:54 1.024  WFC   30.1  180  g                                
 562151 uvex_4633 He1    19:12:12.39 +14:47:59.7 2000.00  03:55 1.031  WFC  120.0  180  HeI 5870                         
 562152 uvex_4633 r      19:12:12.40 +14:47:59.9 2000.00  03:58 1.030  WFC   30.1  180  r                                
 562153 uvex_4633 U      19:12:12.40 +14:48:00.0 2000.00  03:59 1.030  WFC  120.0  180  U                                
 562154 uvex_4633 g      19:12:12.40 +14:48:00.0 2000.00  04:02 1.030  WFC   30.1  180  g                                
 562155 uvex_4633o He1   19:12:33.09 +14:53:00.0 2000.00  04:08 1.030  WFC  120.0  180  HeI 5870                         
 562156 uvex_4633o r     19:12:33.09 +14:53:00.0 2000.00  04:11 1.031  WFC   30.1  180  r                                
 562157 uvex_4633o U     19:12:33.09 +14:53:00.0 2000.00  04:12 1.031  WFC  120.0  180  U                                
 562158 uvex_4633o g     19:12:33.09 +14:52:59.9 2000.00  04:14 1.031  WFC   30.1  180  g                                
 562159 uvex_4634 He1    19:12:14.88 +13:20:00.0 2000.00  04:16 1.039  WFC  120.1  180  HeI 5870                         
 562160 uvex_4634 r      19:12:14.90 +13:19:59.9 2000.00  04:18 1.040  WFC   30.1  180  r                                
 562161 uvex_4634 U      19:12:14.88 +13:19:59.9 2000.00  04:19 1.040  WFC  120.0  180  U                                
 562162 uvex_4634 g      19:12:14.89 +13:20:00.0 2000.00  04:22 1.041  WFC   30.1  180  g                                
